text,jussive,assertive,subjective,interrogative,other
"Ptn la nature ça me passionne trop 😭
Viens on regarde un documentaire sur les tsunami @__Bambinaaa__ 🥹🤣 https://t.co/03Xl5ffbnM",0,0,0,0,1
@InfosFrancaises On dirait l'île ou y'a eu le tsunami en 2011...,0,0,1,0,0
"@keyxlies Ptdrrrrr 35 mètre la vague, c’est un tsunami le bail et il surf ça banal",0,0,1,0,0
"@LirycSama Il a sorti ça comme ça, le tsunami à la fin jpp",0,0,1,0,0
"L’ouragan Lisa, rétrogradé en tempête tropicale, est arrivé au Belize https://t.co/2BIG3bGmpw",0,1,0,0,0
"@PhilippeCuveli3 Comme un ouragan, qui va passer sur toi? 😳
Bonne journée Philippe",0,0,1,0,0
L’ouragan Lisa touche terre le long de la côte d’Amérique centrale en tant que tempête de catégorie 1 https://t.co/QwlEcPoiVh,0,1,0,0,0
"Le gouvernement du Canada annonce un financement pour nettoyer l’océan des débris causés par l’ouragan Fiona afin de rendre les eaux plus sécuritaires et plus saines, et de restituer aux pêcheurs leurs engins de pêche
https://t.co/SZIeRWk2Jj",0,1,0,0,0
"@PaolinaAlma Dis moi,  les gens du village  sont ils tous bien remis de l ouragan?",0,0,0,1,0
#Honduras  Ouragan Lisa (02/11/2022) L'ouragan Lisa approche des îles de la baie et de la côte nord du pays https://t.co/1DOnu5M3OB,0,1,0,0,0
"ÉtatsUnis 🇺🇸
Les #VoituresÉlectriques s’enflamment au contact de l’eau salé de mer, même des semaines après la tempête ouragan Ian, plusieurs incendies de voitures électriques ont eu lieu en cause les batteries lithium!

@AssembleeNat @Senat @Ecologie_Gouv @EmmanuelMacron https://t.co/gtAmSTa5up",0,1,0,0,0
AXA subit un impact de 400 millions d'euros lié à l'ouragan Ian https://t.co/C7WETk3Ogx,0,1,0,0,0
Suivi des tempêtes tropicales : l’ouragan Lisa se forme https://t.co/jYIpM0zj0w,0,1,0,0,0
Par Turbo : Les voitures électriques brûlent en Floride après le passage de l’ouragan Ian https://t.co/rJF5JCx5o7,0,1,0,0,0
L'ouragan Lisa a été rétrogradé mercredi en tempête tropical après avoir touché terre mercredi au Belize.,0,1,0,0,0
